Дата формирования:,08.07.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Период отчета:,28 дней,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Категория 3 уровня:,Пленка для ламинирования,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Название товара,Ссылка на товар,Продавец,Бренд,Категория 1 уровня,Категория 3 уровня,Признак товара,"Заказано на сумму, ₽","Динамика оборота, %","Заказано, штуки","Средняя цена, ₽","Минимальная цена, ₽","Доля выкупа, %","Упущенные продажи, ₽",Дней без остатка,"Ср. время доставки до покупателя, часы","Среднесуточные продажи, ₽","Среднесуточные продажи, штуки","Остаток на конец периода, штуки",Схема работы,"Объем товара, л",Показы всего,Просмотры в поиске и каталоге,Просмотры карточки,"Конверсия из показа в заказ, %","В корзину из поиска и каталога, %","В корзину из карточки, %",Скидка за счет акций,"Доля оборота в акциях, %",Дней в акциях,Дней с продвижением,"Доля рекламных расходов, %",Дата создания карточки товара
"Пленка-заготовка для ламинирования А3, 75мкм, BRAUBERG, 530894 - комплект 100шт.",https://www.ozon.ru/product/2196777801,DC-Electro,Brauberg,Электроника,Пленка для ламинирования,,1732,Нет данных,1,1732,1732,100,0,28 из 28,45 ч,43,0,63,FBS,2.6,157,93,7,0.64,0,14.28,0,0,3 из 28,0 из 28,0,2025-05-27
"Пленка Lomond для черно-белых и цветных лазерных принтеров, самоклеящаяся, прозрачная, 80мкм, А4, 2800003 - 25шт.",https://www.ozon.ru/product/2196778320,DC-Electro,Lomond,Электроника,Пленка для ламинирования,,1973,Нет данных,1,1973,1973,Нет данных,0,-,-,0,0,15,FBS,0.6,98,65,6,1.02,0,16.66,37.9,100,2 из 28,0 из 28,0,2025-05-27
"Fellowes Пленка для ламинирования Lamirel CRC - 78800 А4, 75мкм, 25 шт.",https://www.ozon.ru/product/2207593357,КомпьютерМаркет,Fellowes,Электроника,Пленка для ламинирования,,394,Нет данных,1,394,394,100,0,28 из 28,45 ч,11,0,5,FBS,0.7,982,779,46,0.1,0,6.52,0,0,0 из 28,0 из 28,0,2025-05-29
"11,1 см х 15,4 см, 75 микрон, (А6, 111x154мм). Пленка для ламинирования, глянцевая",https://www.ozon.ru/product/2239621815,Салют,без бренда,Электроника,Пленка для ламинирования,,830,4,2,415,400,50,0,14 из 28,70 ч,29,0,1,"FBO,FBS",0.4,1111,996,27,0.18,0.3,7.4,0,0,0 из 28,0 из 28,0,2025-06-05
"Паучи для ламинирования карт 84*52мм*100мкм, упаковка 100 шт",https://www.ozon.ru/product/2268699686,КартПринт,noname,Электроника,Пленка для ламинирования,,4500,Нет данных,3,1500,1500,50,0,14 из 28,37 ч,90,0,18,FBS,0.3,240,159,16,1.25,1.25,12.5,0,0,4 из 28,0 из 28,0,2025-06-10
Пленка для ламинирования А4 100 мкм 100 штук,https://www.ozon.ru/product/2293191775,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,,312245,192,381,820,756,97,0,26 из 28,53 ч,6557,13,17,FBO,2.2,49674,34440,1950,0.77,1.1,16.71,17.9,100,28 из 28,0 из 28,6.2,2025-06-14
Пленка для ламинирования А4 80 мкм 100 штук,https://www.ozon.ru/product/2293288259,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,198963,574,273,729,704,95.9,0,25 из 28,55 ч,4257,10,3,FBO,2.3,49963,37896,1649,0.55,0.87,14.79,0,0,0 из 28,0 из 28,8.4,2025-06-14
Пленка для ламинирования А4 100 мкм 100 шт,https://www.ozon.ru/product/2293448993,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,197627,77,229,863,863,95.9,0,23 из 28,50 ч,4219,8,123,FBO,1.7,36185,26894,1284,0.63,0.89,15.73,13.7,100,28 из 28,0 из 28,5.2,2025-06-14
Пленка для ламинирования А4 125 мкм 100 шт,https://www.ozon.ru/product/2293775820,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,60050,Нет данных,63,953,950,95,0,27 из 28,0 ч,1638,3,158,FBO,3,9453,7604,403,0.67,1.13,10.17,5.3,100,17 из 28,0 из 28,6.9,2025-06-14
Сахарный Soft Touch пленка для холодной ламинации / 95мкм / Рулон 600мм*100м,https://www.ozon.ru/product/2303822398,Unstroked Printshop,Unstroked,Электроника,Пленка для ламинирования,Лидер по продажам,9900,-55,1,9900,9900,100,0,28 из 28,45 ч,311,0,1,FBS,73.2,2414,1621,104,0.04,0.12,2.88,10,100,15 из 28,0 из 28,0,2025-06-16
"Термопакеты Для Ламинирования, Износостойкие, Прямоугольной Формы, Подходят Для Офиса И Дома, 200 Шт",https://www.ozon.ru/product/2324436025,ENUIUY,без бренда,Электроника,Пленка для ламинирования,,1538,Нет данных,1,1538,1538,100,0,-,-,0,0,76,FBS,1.8,91,67,7,1.1,0,14.28,22.8,100,26 из 28,0 из 28,0,2025-06-19
Пленка для ламинирования А4 60 мкм 100 шт Revcol,https://www.ozon.ru/product/2330068984,Ревкол,Revcol,Электроника,Пленка для ламинирования,,2060,Нет данных,3,687,624,100,0,28 из 28,0 ч,26,0,17,FBO,2.3,1659,1090,42,0.18,0.27,2.38,0,0,0 из 28,0 из 28,0,2025-06-20
"Attache Economy Пленка для ламинирования А4, 125мкм, 100 шт в уп",https://www.ozon.ru/product/2349938391,Нью,Attache Economy,Электроника,Пленка для ламинирования,,2198,Нет данных,1,2198,2198,100,0,28 из 28,90 ч,57,0,0,FBS,2.1,256,158,10,0.39,0,20,0,0,0 из 28,0 из 28,0,2025-06-24
"Обложки для переплета Attache Cover, A4, пластиковые, текстура глянцевая, 120 мкм, прозрачные, 100 шт",https://www.ozon.ru/product/2364410932,Комус,Attache,Электроника,Пленка для ламинирования,,3176,Нет данных,4,794,778,75,0,27 из 28,0 ч,74,0,25,FBO,0.6,1892,1106,60,0.21,0.45,8.33,0,0,0 из 28,0 из 28,0,2025-06-26
"Обложки для переплета Attache Cover, A4, пластиковые, текстура глянцевая, 150 мкм, прозрачные, 100 шт",https://www.ozon.ru/product/2364414066,Комус,Attache,Электроника,Пленка для ламинирования,,5447,Нет данных,6,908,904,100,0,28 из 28,0 ч,119,0,24,FBO,1,1738,1102,62,0.35,0.54,8.06,0,0,0 из 28,0 из 28,0,2025-06-26
"Обложки для переплета Attache Cover, A4, пластиковые, текстура глянцевая, 200 мкм, прозрачные, 50 шт",https://www.ozon.ru/product/2364415570,Комус,Attache,Электроника,Пленка для ламинирования,,1445,Нет данных,2,723,673,100,0,0 из 28,0 ч,55,0,28,FBO,0.7,1210,806,41,0.17,0.24,9.75,0,0,0 из 28,0 из 28,0,2025-06-26
"Пленка для ламинирования Attache Cover, 303x426 мм, А3, 100 мкм, глянцевая, 50 штук",https://www.ozon.ru/product/2364843840,Комус,Attache,Электроника,Пленка для ламинирования,,6250,Нет данных,5,1250,1250,100,0,28 из 28,0 ч,161,0,25,FBO,1.5,493,339,19,1.01,0,5.26,0,0,0 из 28,0 из 28,0,2025-06-26
"Пленка для ламинирования Attache Cover, 216x303 мм, А4, 80 мкм, глянцевая, 100 штук",https://www.ozon.ru/product/2364845670,Комус,Attache,Электроника,Пленка для ламинирования,,918,Нет данных,1,918,918,100,0,0 из 28,0 ч,20,0,29,FBO,1,912,649,17,0.11,0.3,11.76,0,0,0 из 28,0 из 28,0,2025-06-26
Пленка для ламинирования Office Kit Gloss 635 мм x100 м 75мик PET075P0635G100B,https://www.ozon.ru/product/2379405113,Shak shop,Office Kit,Электроника,Пленка для ламинирования,,2102,Нет данных,1,2102,2102,Нет данных,0,-,-,0,0,0,FBS,14.3,83,31,12,1.21,0,8.33,9.2,100,2 из 28,0 из 28,0,2025-06-29
"Пленка для ламинирования А4, 125мкм, 100шт/уп",https://www.ozon.ru/product/2395378809,"ООО ""ОФИС-ЦЕНТР""",без бренда,Электроника,Пленка для ламинирования,,910,0,1,910,910,Нет данных,0,28 из 28,75 ч,49,0,8,FBS,1,624,485,22,0.16,0.41,9.09,0,0,0 из 28,0 из 28,0,2025-07-02
"Пленка для ламинирования А4, 100мкм, 100шт/уп",https://www.ozon.ru/product/2395540152,"ООО ""ОФИС-ЦЕНТР""",без бренда,Электроника,Пленка для ламинирования,,790,Нет данных,1,790,790,100,0,28 из 28,75 ч,30,0,9,FBS,1,843,589,24,0.12,0.84,16.66,0,0,0 из 28,0 из 28,0,2025-07-02
"ProMega Office Пленка для ламинирования 65х95, 80 мкм, 100 шт в уп",https://www.ozon.ru/product/2400942375,Меджикбокс,ProMega Office,Электроника,Пленка для ламинирования,,1458,Нет данных,2,729,729,100,0,28 из 28,45 ч,36,0,0,FBS,0.4,150,134,1,1.33,0,100,0,0,0 из 28,0 из 28,0,2025-07-03
"GMP Пленка для ламинирования самоклеющаяся А8, 52х84 мм, 80мкм, 100 шт в уп",https://www.ozon.ru/product/2400948487,Меджикбокс,GMP,Электроника,Пленка для ламинирования,,3339,Нет данных,1,3339,3339,100,0,-,-,0,0,0,FBS,0.2,51,38,4,1.96,0,25,0,0,0 из 28,0 из 28,0,2025-07-03
"Пленка для ламинирования формат А7, размер 70*100 мм, толщина 150 мкм",https://www.ozon.ru/product/2402554952,ООО «Офис Кит»,Office Kit,Электроника,Пленка для ламинирования,,6951,182,33,211,145,96.9,0,25 из 28,55 ч,200,2,90,"FBO,FBS",0.4,6465,943,604,0.51,0.42,4.96,0,0,0 из 28,0 из 28,0,2025-07-03
"Пленка для ламинирования А4, заготовки для ламинации документов, бумаг, фотографий набор 100 штук, 125x2 мкм, Cromex",https://www.ozon.ru/product/2402715157,Самсон,CROMEX,Электроника,Пленка для ламинирования,Super,11298,Нет данных,12,942,900,100,0,22 из 28,0 ч,485,1,18,FBO,1.8,1891,1597,130,0.64,0.43,9.23,0,0,0 из 28,0 из 28,0,2025-07-03
"Пленка для ламинирования А4, заготовки для ламинации документов, бумаг, фотографий набор 100 штук, 100x2 мкм, Cromex",https://www.ozon.ru/product/2402715527,Самсон,CROMEX,Электроника,Пленка для ламинирования,Super,57122,Нет данных,70,816,773,94.2,0,24 из 28,0 ч,1965,4,1,FBO,1.5,5196,3854,339,1.35,1.97,18.58,0,0,0 из 28,0 из 28,0,2025-07-03
"Пленка для ламинирования А4, заготовки для ламинации документов, бумаг, фотографий набор 100 штук, 75x2 мкм, Cromex",https://www.ozon.ru/product/2402715565,Самсон,CROMEX,Электроника,Пленка для ламинирования,Super,30864,Нет данных,48,643,643,97.9,0,24 из 28,0 ч,1104,3,108,FBO,1.1,4777,3814,306,1,1.44,15.03,0,0,0 из 28,0 из 28,0,2025-07-03
"Пленка для ламинирования А4, заготовки для ламинации документов, бумаг, фотографий набор 100 штук, 60x2 мкм, Cromex",https://www.ozon.ru/product/2402715586,Самсон,CROMEX,Электроника,Пленка для ламинирования,Super,53954,Нет данных,91,593,567,98.8,0,23 из 28,0 ч,1658,5,124,FBO,0.9,7833,6222,425,1.16,1.8,16.47,0,0,0 из 28,0 из 28,0,2025-07-03
"Пленка для ламинирования А4, заготовки для ламинации документов, бумаг, фотографий набор 100 штук, 80x2 мкм, Cromex",https://www.ozon.ru/product/2402715743,Самсон,CROMEX,Электроника,Пленка для ламинирования,Super,70326,Нет данных,105,670,646,100,0,24 из 28,0 ч,2243,6,0,FBO,1.2,6394,4900,451,1.64,2.02,18.4,0,0,0 из 28,0 из 28,0,2025-07-03
Пленка для ламинирования,https://www.ozon.ru/product/2418043736,HL,без бренда,Электроника,Пленка для ламинирования,,2460,Нет данных,3,820,810,100,0,-,-,0,0,665,FBS,0.7,3921,923,367,0.08,1.19,10.35,0,0,1 из 28,0 из 28,0,2025-07-06
"Пленка для ламинирования ProMega, 216x303 мм, А4, 75 мкм, глянцевая, 100 шт Уцененный товар",https://www.ozon.ru/product/2425996137,Комус,ProMega,Электроника,Пленка для ламинирования,,781,Нет данных,1,781,781,Нет данных,0,-,-,0,0,0,FBO,1.4,371,201,52,0.27,0,3.84,0,0,3 из 28,0 из 28,0,Нет данных
Пленка для ламинирования А3 100 шт 60 мкм глянцевая,https://www.ozon.ru/product/2432018969,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,21900,Нет данных,21,1043,1000,95.2,0,26 из 28,0 ч,653,1,0,FBO,4.1,6916,5838,175,0.3,0.42,8.57,13,68.5,8 из 28,0 из 28,5.1,2025-07-08
Пленка для ламинирования Silwerhof 100мкм A3 (100шт) глянцевая 426x303мм Уцененный товар,https://www.ozon.ru/product/2436348736,Позитроника,Silwerhof,Электроника,Пленка для ламинирования,,521,Нет данных,1,521,521,100,0,-,-,0,0,0,FBO,3.4,377,93,56,0.27,0,1.78,0,100,15 из 28,0 из 28,0,Нет данных
Пленка для ламинирования Silwerhof 100мкм A3 (100шт) глянцевая 426x303мм Уцененный товар,https://www.ozon.ru/product/2436390612,Позитроника,Silwerhof,Электроника,Пленка для ламинирования,,881,Нет данных,1,881,881,100,0,-,-,0,0,0,FBO,3.4,168,30,30,0.6,0,3.33,0,100,7 из 28,0 из 28,0,Нет данных
Пленка для ламинирования Silwerhof 100мкм A3 (100шт) глянцевая 426x303мм Уцененный товар,https://www.ozon.ru/product/2436464407,Позитроника,Silwerhof,Электроника,Пленка для ламинирования,,617,Нет данных,1,617,617,100,0,-,-,0,0,0,FBO,3.4,222,41,46,0.45,2.43,2.17,0,100,8 из 28,0 из 28,0,Нет данных
"Пленка для ламинирования ProMega, 216x303 мм, А4, 75 мкм, глянцевая, 100 шт Уцененный товар",https://www.ozon.ru/product/2438287225,Комус,ProMega,Электроника,Пленка для ламинирования,,719,Нет данных,1,719,719,100,0,-,-,0,0,0,FBO,1.4,350,191,57,0.29,0.52,1.75,0,0,3 из 28,0 из 28,0,Нет данных
Пленка для ламинирования Office Kit 60мкм A4 (100шт) глянцевая 216x303мм PLP100123,https://www.ozon.ru/product/2439766977,"Kunming Zhishuanghao E-commerce Co., Ltd",без бренда,Электроника,Пленка для ламинирования,,1417,Нет данных,2,708,708,Нет данных,0,-,-,0,0,300,FBS,2,710,63,12,0.28,0,16.66,0,0,0 из 28,0 из 28,0,2025-07-10
"Пленка для ламинирования А4 Orange Peel, толщина 60мкм, 100 штук, коробка Уцененный товар",https://www.ozon.ru/product/2441694683,СЛС - ПЛАСТ ООО,Orange Peel,Электроника,Пленка для ламинирования,,530,Нет данных,1,530,530,100,0,-,-,0,0,0,FBO,1,42,14,14,2.38,0,14.28,0,0,0 из 28,0 из 28,0,Нет данных
Пленка для ламинирования А3 125 мкм 100 шт глянцевая,https://www.ozon.ru/product/2469803974,"ООО ""АРВАДА""",без бренда,Электроника,Пленка для ламинирования,Super,18500,Нет данных,10,1850,1850,80,0,26 из 28,0 ч,862,1,1,FBO,4.1,838,502,56,1.19,1.59,16.07,38.3,100,11 из 28,0 из 28,0.2,2025-07-14
"Пленка для ламинирования / ламинации документов, сертификатов, грамот формата А4, глянцевая, комплект 100 шт, 75 мкм, Silwerhof Уцененный товар",https://www.ozon.ru/product/2483041598,Позитроника,Silwerhof,Электроника,Пленка для ламинирования,,350,Нет данных,1,350,350,100,0,-,-,0,0,0,FBO,1.1,201,79,15,0.5,0,13.33,0,100,1 из 28,0 из 28,0,Нет данных
